sku,name,class,doses,on_hand,price_usd,hidden,reorder_at,video_url,video_title,video_description,video_thumbnail
VSR-RS-BB10,Blend: BPC 5mg + TB 5mg — 10mg,regenerative,10mg,,,FALSE,,,,,
VSR-RS-BB20,Blend: BPC + TB — 20mg,regenerative,20mg,,,FALSE,,,,,
VSR-RS-BBG70,Glow Blend: TB 10mg + BPC-157 10mg + GHK 50mg — 70mg,antioxidant-beauty,70mg,,,FALSE,,,,,
VSR-RS-BC10,BPC 157 — 10mg,regenerative,10mg,,,FALSE,,,,,
VSR-RS-BC2,BPC 157 Acetate — 2mg,regenerative,2mg,,,FALSE,,,,,
VSR-RS-BC5,BPC 157 — 5mg,regenerative,5mg,,,FALSE,,,,,
VSR-RS-BP10,BPC 157 — 10mg,regenerative,10mg,,,FALSE,,,,,
VSR-RS-BP5,BPC 157 — 5mg,regenerative,5mg,,,FALSE,,,,,
VSR-RS-BPC-005,BPC-157 — 5mg,Regenerative Peptide,2mg / 5mg / 10mg,,,FALSE,,,,,
VSR-RS-BPTB,BPC-157 + TB-500 Blend,Regenerative Blend,10mg / 20mg,,,FALSE,,,,,
VSR-RS-BT10,TB500 (Thymosin β4 Acetate) — 10mg,regenerative,10mg,,,FALSE,,,,,
VSR-RS-BT2,TB500 (Thymosin β4 Acetate) — 2mg,regenerative,2mg,,,FALSE,,,,,
VSR-RS-BT5,TB500 (Thymosin β4 Acetate) — 5mg,regenerative,5mg,,,FALSE,,,,,
VSR-RS-CD10,CJC-1295 with DAC — 10mg,gh-secretagogue,10mg,,,FALSE,,,,,
VSR-RS-CD2,CJC-1295 with DAC — 2mg,gh-secretagogue,2mg,,,FALSE,,,,,
VSR-RS-CD5,CJC-1295 with DAC — 5mg,gh-secretagogue,5mg,,,FALSE,,,,,
VSR-RS-CGL,Cagrilintide,Amylin Analogue,5mg / 10mg,,,FALSE,,,,,
VSR-RS-CGL10,Cagrilintide — 10mg,incretin-metabolic-agonists,10mg,,,FALSE,,,,,
VSR-RS-CGL5,Cagrilintide — 5mg,incretin-metabolic-agonists,5mg,,,FALSE,,,,,
VSR-RS-CGS,Cagrilintide + Semaglutide,Amylin / GLP-1 Blend,5mg / 10mg,,,FALSE,,,,,
VSR-RS-CJC-002,CJC-1295 DAC — 2mg,GH Secretagogue,2mg / 5mg / 10mg,,,FALSE,,,,,
VSR-RS-CJCN,CJC-1295 (No DAC),GHRH Analogue,2mg / 5mg / 10mg,,,FALSE,,,,,
VSR-RS-CJIP,CJC-1295 (No DAC) + Ipamorelin,GH Secretagogue Blend,10mg,,,FALSE,,,,,
VSR-RS-CND10,CJC-1295 no DAC — 10mg,gh-secretagogue,10mg,,,FALSE,,,,,
VSR-RS-CND2,CJC-1295 no DAC — 2mg,gh-secretagogue,2mg,,,FALSE,,,,,
VSR-RS-CND5,CJC-1295 no DAC — 5mg,gh-secretagogue,5mg,,,FALSE,,,,,
VSR-RS-CP10,CJC-1295 no DAC 5mg + IPA 5mg — 10mg,gh-secretagogue,10mg,,,FALSE,,,,,
VSR-RS-CS10,Cagrilintide + Semaglutide — 10mg,incretin-metabolic-agonists,10mg,,,FALSE,,,,,
VSR-RS-CS5,Cagrilintide 5mg + Semaglutide 5mg — 5mg,incretin-metabolic-agonists,5mg,,,FALSE,,,,,
VSR-RS-CU100,GHK-Cu — 100mg,antioxidant-beauty,100mg,,,FALSE,,,,,
VSR-RS-CU50,GHK-Cu — 50mg,antioxidant-beauty,50mg,,,FALSE,,,,,
VSR-RS-DR5,Dermorphin — 5mg,nootropic-neuroactive,5mg,,,FALSE,,,,,
VSR-RS-DRM,Dermorphin,Opioid Peptide,5mg,,,FALSE,,,,,
VSR-RS-DS10,DSIP — 10mg,nootropic-neuroactive,10mg,,,FALSE,,,,,
VSR-RS-DS2,DSIP — 2mg,nootropic-neuroactive,2mg,,,FALSE,,,,,
VSR-RS-DS5,DSIP — 5mg,nootropic-neuroactive,5mg,,,FALSE,,,,,
VSR-RS-DSIP,DSIP,Neuropeptide,2mg / 5mg / 10mg,,,FALSE,,,,,
VSR-RS-EPT-010,Epitalon — 10mg,Bio-Regulator,10mg / 20mg / 50mg,,,FALSE,,,,,
VSR-RS-EPi10(ET),Epithalon — 10mg,bioregulator,10mg,,,FALSE,,,,,
VSR-RS-EPi50(ET),Epithalon — 50mg,bioregulator,50mg,,,FALSE,,,,,
VSR-RS-ET10,Epitalon — 10mg,bioregulator,10mg,,,FALSE,,,,,
VSR-RS-ET50,Epitalon — 50mg,bioregulator,50mg,,,FALSE,,,,,
VSR-RS-F410,FOXO4-DRI — 10mg,bioregulator,10mg,,,FALSE,,,,,
VSR-RS-FM2,MGF — 2mg,growth-factor-anabolic,2mg,,,FALSE,,,,,
VSR-RS-FMP2,PEG-MGF — 2mg,growth-factor-anabolic,2mg,,,FALSE,,,,,
VSR-RS-FOXO,FOXO4-DRI,Senolytic Peptide,10mg,,,FALSE,,,,,
VSR-RS-G10K,HCG — 10000iu,reproductive-hormonal,10000iu,,,FALSE,,,,,
VSR-RS-G210,GHRP-2 Acetate — 10mg,gh-secretagogue,10mg,,,FALSE,,,,,
VSR-RS-G25,GHRP-2 Acetate — 5mg,gh-secretagogue,5mg,,,FALSE,,,,,
VSR-RS-G5K,HCG — 5000iu,reproductive-hormonal,5000iu,,,FALSE,,,,,
VSR-RS-G610,GHRP-6 Acetate — 10mg,gh-secretagogue,10mg,,,FALSE,,,,,
VSR-RS-G65,GHRP-6 Acetate — 5mg,gh-secretagogue,5mg,,,FALSE,,,,,
VSR-RS-G75,HMG — 75mg,reproductive-hormonal,75mg,,,FALSE,,,,,
VSR-RS-GHK,GHK-Cu,Copper Peptide,50mg / 100mg,,,FALSE,,,,,
VSR-RS-GLOW,GLOW Blend (TB-500 · BPC-157 · GHK),Regenerative Blend,70mg,,,FALSE,,,,,
VSR-RS-GLOW70,Blend: BPC-157 10mg + GHK-Cu 50mg + TB-500 10mg — 70mg,antioxidant-beauty,70mg,,,FALSE,,,,,
VSR-RS-GLWC,GLOW Blend (BPC-157 · GHK-Cu · TB-500),Regenerative Blend,70mg,,,FALSE,,,,,
VSR-RS-GND2,Gonadorelin — 2mg,reproductive-hormonal,2mg,,,FALSE,,,,,
VSR-RS-GNRH,Gonadorelin,GnRH Analogue,2mg,,,FALSE,,,,,
VSR-RS-GRP2,GHRP-2 Acetate,GH Secretagogue,5mg / 10mg,,,FALSE,,,,,
VSR-RS-GRP6,GHRP-6 Acetate,GH Secretagogue,5mg / 10mg,,,FALSE,,,,,
VSR-RS-GSH,Glutathione,Antioxidant Tripeptide,600mg / 1500mg,,,FALSE,,,,,
VSR-RS-GTT1500,Glutathione — 1500mg,antioxidant-beauty,1500mg,,,FALSE,,,,,
VSR-RS-GTT600,Glutathione — 600mg,antioxidant-beauty,600mg,,,FALSE,,,,,
VSR-RS-H10,HGH — 10mg,growth-factor-anabolic,10mg,,,FALSE,,,,,
VSR-RS-H12,HGH — 12mg,growth-factor-anabolic,12mg,,,FALSE,,,,,
VSR-RS-H15,HGH — 15mg,growth-factor-anabolic,15mg,,,FALSE,,,,,
VSR-RS-H24,HGH — 24mg,growth-factor-anabolic,24mg,,,FALSE,,,,,
VSR-RS-H36,HGH — 36mg,growth-factor-anabolic,36mg,,,FALSE,,,,,
VSR-RS-HCG,HCG,Gonadotropin,5000iu / 10000iu / 1000iu / 2000iu,,,FALSE,,,,,
VSR-RS-HCG/G10K,HCG — 10000iu,reproductive-hormonal,10000iu,,,FALSE,,,,,
VSR-RS-HCG/G1K,HCG — 1000iu,reproductive-hormonal,1000iu,,,FALSE,,,,,
VSR-RS-HCG/G2K,HCG — 2000iu,reproductive-hormonal,2000iu,,,FALSE,,,,,
VSR-RS-HCG/G5K,HCG — 5000iu,reproductive-hormonal,5000iu,,,FALSE,,,,,
VSR-RS-HCG1000,HCG — 1000iu,reproductive-hormonal,1000iu,,,FALSE,,,,,
VSR-RS-HCG10000,HCG — 10000iu,reproductive-hormonal,10000iu,,,FALSE,,,,,
VSR-RS-HCG2000,HCG — 2000iu,reproductive-hormonal,2000iu,,,FALSE,,,,,
VSR-RS-HCG5000,HCG — 5000iu,reproductive-hormonal,5000iu,,,FALSE,,,,,
VSR-RS-HEX,Hexarelin Acetate,GH Secretagogue,2mg / 5mg,,,FALSE,,,,,
VSR-RS-HGH,HGH,Growth Hormone,10mg / 12mg / 15mg / 24mg / 36mg,,,FALSE,,,,,
VSR-RS-HMG,HMG,Gonadotropin,75mg,,,FALSE,,,,,
VSR-RS-HX2,Hexarelin Acetate — 2mg,gh-secretagogue,2mg,,,FALSE,,,,,
VSR-RS-HX5,Hexarelin Acetate — 5mg,gh-secretagogue,5mg,,,FALSE,,,,,
VSR-RS-IG01,IGF-1 LR3 — 0.1mg,growth-factor-anabolic,0.1mg,,,FALSE,,,,,
VSR-RS-IG1,IGF-1 LR3 — 1mg,growth-factor-anabolic,1mg,,,FALSE,,,,,
VSR-RS-IGF,IGF-1 LR3,Growth Factor,0.1mg / 1mg,,,FALSE,,,,,
VSR-RS-IP10,Ipamorelin — 10mg,gh-secretagogue,10mg,,,FALSE,,,,,
VSR-RS-IP2,Ipamorelin — 2mg,gh-secretagogue,2mg,,,FALSE,,,,,
VSR-RS-IP5,Ipamorelin — 5mg,gh-secretagogue,5mg,,,FALSE,,,,,
VSR-RS-IPA-005,Ipamorelin — 5mg,GH Secretagogue,2mg / 5mg / 10mg,,,FALSE,,,,,
VSR-RS-KISS,Kisspeptin-10,Reproductive Peptide,5mg / 10mg,,,FALSE,,,,,
VSR-RS-KLOW,KLOW Blend (GHK-Cu · TB-500 · BPC-157 · KPV),Regenerative Blend,80mg,,,FALSE,,,,,
VSR-RS-KLOW80,Blend: 10mg + BPC-157 10mg + GHK 50mg + K — 80mg,antioxidant-beauty,80mg,,,FALSE,,,,,
VSR-RS-KLW80,Blend: CU 50mg + TB 10mg + BC 10mg + KPV 1mg — 80mg,antioxidant-beauty,80mg,,,FALSE,,,,,
VSR-RS-KP10,KPV — 10mg,immunomodulatory,10mg,,,FALSE,,,,,
VSR-RS-KPV-010,KPV — 10mg,Anti-Inflammatory,5mg / 10mg / 25mg,,,FALSE,,,,,
VSR-RS-KPV10,Lysine-Proline-Valine — 10mg,immunomodulatory,10mg,,,FALSE,,,,,
VSR-RS-KPV5,Lysine-Proline-Valine — 5mg,immunomodulatory,5mg,,,FALSE,,,,,
VSR-RS-KS10,Kisspeptin-10 — 10mg,reproductive-hormonal,10mg,,,FALSE,,,,,
VSR-RS-KS5,Kisspeptin-10 — 5mg,reproductive-hormonal,5mg,,,FALSE,,,,,
VSR-RS-LB,Lemon Bottle — 10ml,antioxidant-beauty,10ml,,,FALSE,,,,,
VSR-RS-LC1200,L-Carnitine — 1200mg / 10ml,metabolic-cofactor,1200mg / 10ml,,,FALSE,,,,,
VSR-RS-LC216,Lipo-C — 10ml,metabolic-cofactor,10ml,,,FALSE,,,,,
VSR-RS-LC600,L-Carnitine — 600mg / 10ml,metabolic-cofactor,600mg / 10ml,,,FALSE,,,,,
VSR-RS-LCAR,L-Carnitine,Metabolic Cofactor,600mg / 10ml / 1200mg / 10ml,,,FALSE,,,,,
VSR-RS-LIPC,Lipo-C,Lipotropic Blend,10ml,,,FALSE,,,,,
VSR-RS-LL37,LL-37,Antimicrobial Peptide,5mg,,,FALSE,,,,,
VSR-RS-LMB,Lemon Bottle,Lipolytic Solution,10ml,,,FALSE,,,,,
VSR-RS-MDT10,Mazdutide — 10mg,incretin-metabolic-agonists,10mg,,,FALSE,,,,,
VSR-RS-MGF,MGF,Growth Factor,2mg,,,FALSE,,,,,
VSR-RS-MK,MK-677,GH Secretagogue,5mg,,,FALSE,,,,,
VSR-RS-MK75,MK-677 — 5mg,gh-secretagogue,5mg,,,FALSE,,,,,
VSR-RS-MOTS,MOTS-c,Mitochondrial Peptide,10mg / 20mg / 40mg,,,FALSE,,,,,
VSR-RS-MS10,MOTS-C — 10mg,metabolic-cofactor,10mg,,,FALSE,,,,,
VSR-RS-MS20,MOTS-C — 20mg,metabolic-cofactor,20mg,,,FALSE,,,,,
VSR-RS-MS40,MOTS-C — 40mg,metabolic-cofactor,40mg,,,FALSE,,,,,
VSR-RS-MT-2/ML10,Melanotan II — 10mg,antioxidant-beauty,10mg,,,FALSE,,,,,
VSR-RS-MT1,Melanotan I,Melanocortin Agonist,10mg,,,FALSE,,,,,
VSR-RS-MT2,Melanotan II,Melanocortin Agonist,10mg,,,FALSE,,,,,
VSR-RS-MZ10,Mazdutide — 10mg,incretin-metabolic-agonists,10mg,,,FALSE,,,,,
VSR-RS-MZ5,Mazdutide — 5mg,incretin-metabolic-agonists,5mg,,,FALSE,,,,,
VSR-RS-MZD,Mazdutide,GLP-1 / Glucagon Agonist,10mg / 5mg,,,FALSE,,,,,
VSR-RS-NAD,NAD+,Metabolic Cofactor,100mg / 500mg / 1000mg,,,FALSE,,,,,
VSR-RS-NJ100,NAD+ — 100mg,metabolic-cofactor,100mg,,,FALSE,,,,,
VSR-RS-NJ1000,NAD+ — 1000mg,metabolic-cofactor,1000mg,,,FALSE,,,,,
VSR-RS-NJ500,NAD+ — 500mg,metabolic-cofactor,500mg,,,FALSE,,,,,
VSR-RS-NP810,Snap-8 — 10mg,antioxidant-beauty,10mg,,,FALSE,,,,,
VSR-RS-OT2,Oxytocin Acetate — 2mg,reproductive-hormonal,2mg,,,FALSE,,,,,
VSR-RS-OT5,Oxytocin Acetate — 5mg,reproductive-hormonal,5mg,,,FALSE,,,,,
VSR-RS-OXT,Oxytocin Acetate,Neurohypophysial Peptide,2mg / 5mg,,,FALSE,,,,,
VSR-RS-P41,PT-141 — 10mg,reproductive-hormonal,10mg,,,FALSE,,,,,
VSR-RS-PMGF,PEG-MGF,Growth Factor,2mg,,,FALSE,,,,,
VSR-RS-PT41,PT-141,Melanocortin Agonist,10mg,,,FALSE,,,,,
VSR-RS-RA10,ARA 290 — 10mg,immunomodulatory,10mg,,,FALSE,,,,,
VSR-RS-RT10,Retatrutide — 10mg,incretin-metabolic-agonists,10mg,,,FALSE,,,,,
VSR-RS-RT100,Retatrutide — 100mg,incretin-metabolic-agonists,100mg,,,FALSE,,,,,
VSR-RS-RT15,Retatrutide — 15mg,incretin-metabolic-agonists,15mg,,,FALSE,,,,,
VSR-RS-RT20,Retatrutide — 20mg,incretin-metabolic-agonists,20mg,,,FALSE,,,,,
VSR-RS-RT30,Retatrutide — 30mg,incretin-metabolic-agonists,30mg,,,FALSE,,,,,
VSR-RS-RT40,Retatrutide — 40mg,incretin-metabolic-agonists,40mg,,,FALSE,,,,,
VSR-RS-RT5,Retatrutide — 5mg,incretin-metabolic-agonists,5mg,,,FALSE,,,,,
VSR-RS-RT50,Retatrutide — 50mg,incretin-metabolic-agonists,50mg,,,FALSE,,,,,
VSR-RS-RT60,Retatrutide — 60mg,incretin-metabolic-agonists,60mg,,,FALSE,,,,,
VSR-RS-RTT-005,Retatrutide — 5mg,GIP/GLP-1/Glucagon Triple Agonist,5mg / 10mg / 15mg / 20mg / 30mg / 40mg / 50mg / 60mg / 100mg,,,FALSE,,,,,
VSR-RS-SEM-005,Semaglutide — 5mg,GLP-1 Agonist,2mg / 5mg / 10mg,,,FALSE,,,,,
VSR-RS-SEX-030,Semax — 30mg,Nootropic Peptide,5mg / 10mg / 30mg,,,FALSE,,,,,
VSR-RS-SK10,Selank — 10mg,nootropic-neuroactive,10mg,,,FALSE,,,,,
VSR-RS-SK5,Selank — 5mg,nootropic-neuroactive,5mg,,,FALSE,,,,,
VSR-RS-SLK,Selank,Nootropic Peptide,5mg / 10mg,,,FALSE,,,,,
VSR-RS-SMO,Sermorelin,GHRH Analogue,5mg / 10mg,,,FALSE,,,,,
VSR-RS-SMO10,Sermorelin — 10mg,gh-secretagogue,10mg,,,FALSE,,,,,
VSR-RS-SMO5,Sermorelin — 5mg,gh-secretagogue,5mg,,,FALSE,,,,,
VSR-RS-SNP8,SNAP-8,Cosmetic Peptide,10mg,,,FALSE,,,,,
VSR-RS-SS31,SS-31,Mitochondrial Peptide,10mg / 50mg,,,FALSE,,,,,
VSR-RS-SUR10,Survodutide — 10mg,incretin-metabolic-agonists,10mg,,,FALSE,,,,,
VSR-RS-SVD,Survodutide,GLP-1 / Glucagon Agonist,10mg,,,FALSE,,,,,
VSR-RS-SX10/XA10,Semax — 10mg,nootropic-neuroactive,10mg,,,FALSE,,,,,
VSR-RS-SX5/XA5,Semax — 5mg,nootropic-neuroactive,5mg,,,FALSE,,,,,
VSR-RS-SYR-100,"Research Syringes — 1mL, Box of 100",Consumable,Box of 100,,24,FALSE,,,,,
VSR-RS-TA1,Thymosin α-1,Immunomodulatory Peptide,5mg / 10mg,,,FALSE,,,,,
VSR-RS-TA10,Thymosin α-1 — 10mg,immunomodulatory,10mg,,,FALSE,,,,,
VSR-RS-TA5,Thymosin α-1 — 5mg,immunomodulatory,5mg,,,FALSE,,,,,
VSR-RS-TB4-005,TB-500 — 5mg,Regenerative Peptide,2mg / 5mg / 10mg,,,FALSE,,,,,
VSR-RS-THY-1,Thymosin α-1 — 5mg,immunomodulatory,5mg,,,FALSE,,,,,
VSR-RS-TR10,Tirzepatide — 10mg,incretin-metabolic-agonists,10mg,,,FALSE,,,,,
VSR-RS-TR100,Tirzepatide — 100mg,incretin-metabolic-agonists,100mg,,,FALSE,,,,,
VSR-RS-TR15,Tirzepatide — 15mg,incretin-metabolic-agonists,15mg,,,FALSE,,,,,
VSR-RS-TR20,Tirzepatide — 20mg,incretin-metabolic-agonists,20mg,,,FALSE,,,,,
VSR-RS-TR30,Tirzepatide — 30mg,incretin-metabolic-agonists,30mg,,,FALSE,,,,,
VSR-RS-TR40,Tirzepatide — 40mg,incretin-metabolic-agonists,40mg,,,FALSE,,,,,
VSR-RS-TR5,Tirzepatide — 5mg,incretin-metabolic-agonists,5mg,,,FALSE,,,,,
VSR-RS-TR50,Tirzepatide — 50mg,incretin-metabolic-agonists,50mg,,,FALSE,,,,,
VSR-RS-TR60,Tirzepatide — 60mg,incretin-metabolic-agonists,60mg,,,FALSE,,,,,
VSR-RS-TSM,Tesamorelin,GHRH Analogue,2mg / 5mg / 10mg / 20mg,,,FALSE,,,,,
VSR-RS-TSM10,Tesamorelin — 10mg,gh-secretagogue,10mg,,,FALSE,,,,,
VSR-RS-TSM2,Tesamorelin — 2mg,gh-secretagogue,2mg,,,FALSE,,,,,
VSR-RS-TSM20,Tesamorelin — 20mg,gh-secretagogue,20mg,,,FALSE,,,,,
VSR-RS-TSM5,Tesamorelin — 5mg,gh-secretagogue,5mg,,,FALSE,,,,,
VSR-RS-TY10,Thymalin — 10mg,immunomodulatory,10mg,,,FALSE,,,,,
VSR-RS-TYM,Thymalin,Thymic Peptide,10mg,,,FALSE,,,,,
VSR-RS-TZP-010,Tirzepatide — 10mg,GIP/GLP-1 Dual Agonist,5mg / 10mg / 15mg / 20mg / 30mg / 40mg / 50mg / 60mg / 100mg,,,FALSE,,,,,
VSR-RS-VIP,VIP,Neuropeptide,10mg,,,FALSE,,,,,
VSR-RS-VP10,VIP — 10mg,immunomodulatory,10mg,,,FALSE,,,,,
VSR-RS-WA10,Bacteriostatic Water — 10ml,supply,10ml,,,FALSE,,,,,
VSR-RS-WA3,Bacteriostatic Water — 3ml,supply,3ml,,,FALSE,,,,,
VSR-RS-XA10,Semax — 10mg,nootropic-neuroactive,10mg,,,FALSE,,,,,
VSR-RS-XA5,Semax — 5mg,nootropic-neuroactive,5mg,,,FALSE,,,,,
